,loan_id,gender,marital_status,dependents,qualification,is_self_employed,applicant_income,co_applicant_income,loan_amount,loan_amount_term,credit_history,property_area
0,1,M,No,0,Graduate,No,5849,0,134.2210526,360,1,Urban
1,2,M,Yes,1,Graduate,No,4583,1508,128,360,1,Rural
2,3,M,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban
3,4,M,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban
4,5,M,No,0,Graduate,No,6000,0,141,360,1,Urban
5,6,M,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban
6,7,M,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban
7,8,M,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban
8,9,M,Yes,2,Graduate,No,4006,1526,168,360,1,Urban
9,10,M,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban
10,11,M,Yes,2,Graduate,No,3200,700,70,360,1,Urban
11,12,M,Yes,2,Graduate,,2500,1840,109,360,1,Urban
12,13,M,Yes,2,Graduate,No,3073,8106,200,360,1,Urban
13,14,M,No,0,Graduate,No,1853,2840,114,360,1,Rural
14,15,M,Yes,2,Graduate,No,1299,1086,17,120,1,Urban
15,16,M,No,0,Graduate,No,4950,0,125,360,1,Urban
16,17,M,No,1,Not Graduate,No,3596,0,100,240,0.836956522,Urban
17,18,F,No,0,Graduate,No,3510,0,76,360,0,Urban
18,19,M,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural
19,20,M,Yes,0,Graduate,,2600,3500,115,341.6842105,1,Urban
20,21,M,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban
21,22,M,Yes,1,Graduate,No,5955,5625,315,360,1,Urban
22,23,M,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban
23,24,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural
24,25,M,Yes,1,Graduate,,3717,2925,151,360,0.836956522,Semiurban
25,26,M,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban
26,27,M,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban
27,28,M,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban
28,29,M,No,0,Not Graduate,No,1442,0,35,360,1,Urban
29,30,F,No,2,Graduate,,3750,2083,120,360,1,Semiurban
30,31,M,Yes,1,Graduate,,4166,3369,201,360,0.836956522,Urban
31,32,M,No,0,Graduate,No,3167,0,74,360,1,Urban
32,33,M,No,1,Graduate,Yes,4692,0,106,360,1,Rural
33,34,M,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban
34,35,M,No,3+,Graduate,No,12500,3000,320,360,1,Rural
35,36,M,Yes,0,Graduate,No,2275,2067,134.2210526,360,1,Urban
36,37,M,Yes,0,Graduate,No,1828,1330,100,341.6842105,0,Urban
37,38,F,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban
38,39,M,No,0,Graduate,No,4166,7210,184,360,1,Urban
39,40,M,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban
40,41,M,No,0,Graduate,No,3600,0,80,360,1,Urban
41,42,M,No,0,Graduate,No,1800,1213,47,360,1,Urban
42,43,M,Yes,0,Graduate,No,2400,0,75,360,0.836956522,Urban
43,44,M,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban
44,45,M,Yes,0,Not Graduate,Yes,4695,0,96,341.6842105,1,Urban
45,46,F,No,0,Graduate,No,3410,0,88,341.6842105,1,Urban
46,47,M,Yes,1,Graduate,No,5649,0,44,360,1,Urban
47,48,M,Yes,0,Graduate,No,5821,0,144,360,1,Urban
48,49,F,Yes,0,Graduate,No,2645,3440,120,360,0,Urban
49,50,F,No,0,Graduate,No,4000,2275,144,360,1,Semiurban
50,51,F,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban
51,52,F,No,0,Graduate,No,3086,0,120,360,1,Semiurban
52,53,F,No,0,Graduate,No,4230,0,112,360,1,Semiurban
53,54,M,Yes,2,Graduate,No,4616,0,134,360,1,Urban
54,55,F,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban
55,56,M,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban
56,57,M,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban
57,58,M,Yes,0,Graduate,No,3366,2200,135,360,1,Rural
58,59,M,Yes,1,Graduate,No,8080,2250,180,360,1,Urban
59,60,M,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban
60,61,M,Yes,0,Graduate,No,2500,3796,120,360,1,Urban
61,62,M,Yes,3+,Graduate,No,3029,0,99,360,1,Urban
62,63,M,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural
63,64,M,Yes,1,Graduate,No,4945,0,134.2210526,360,0,Rural
64,65,F,No,0,Graduate,No,4166,0,116,360,0,Semiurban
65,66,M,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban
66,67,M,No,0,Not Graduate,No,3200,2254,126,180,0,Urban
67,68,M,Yes,1,Graduate,No,10750,0,312,360,1,Urban
68,69,M,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban
69,70,F,No,0,Graduate,No,4300,0,136,360,0,Semiurban
70,71,M,Yes,0,Graduate,No,3208,3066,172,360,1,Urban
71,72,M,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban
72,73,M,No,0,Graduate,No,3500,0,81,300,1,Semiurban
73,74,M,Yes,3+,Not Graduate,No,4755,0,95,341.6842105,0,Semiurban
74,75,M,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban
75,76,M,No,0,Graduate,No,3750,0,113,480,1,Urban
76,77,M,No,0,Graduate,No,3750,4750,176,360,1,Urban
77,78,M,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban
78,79,M,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban
79,80,M,Yes,3+,Not Graduate,Yes,3333,2166,130,360,0.836956522,Semiurban
80,81,F,No,0,Graduate,No,3846,0,111,360,1,Semiurban
81,82,M,Yes,1,Graduate,Yes,2395,0,134.2210526,360,1,Semiurban
82,83,F,Yes,2,Graduate,No,1378,1881,167,360,1,Urban
83,84,M,Yes,0,Graduate,No,6000,2250,265,360,0.836956522,Semiurban
84,85,M,Yes,1,Graduate,No,3988,0,50,240,1,Urban
85,86,M,No,0,Graduate,No,2366,2531,136,360,1,Semiurban
86,87,M,Yes,2,Not Graduate,No,3333,2000,99,360,0.836956522,Semiurban
